,id,symbol,name,price,market_cap,total_volume,rank,image
0,bitcoin,btc,Bitcoin,2624725.0,49246699530851,2469586239684,1,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579
1,ethereum,eth,Ethereum,160731.0,18724550022499,2333211446084,2,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880
2,tether,usdt,Tether,74.66,4676373532290,4783176425541,3,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707
3,binancecoin,bnb,Binance Coin,22287.0,3442201251451,122475348517,4,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615
4,cardano,ada,Cardano,100.65,3228429535085,240265259086,5,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860
5,dogecoin,doge,Dogecoin,19.22,2505108941773,160366424957,6,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256
6,ripple,xrp,XRP,49.32,2274982411704,180443849716,7,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731
7,usd-coin,usdc,USD Coin,74.5,1889316047927,172589645144,8,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389
8,polkadot,dot,Polkadot,1214.39,1219997480388,62005583633,9,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776
9,binance-usd,busd,Binance USD,74.47,749725175852,289263515683,10,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766
10,bitcoin-cash,bch,Bitcoin Cash,38651.0,725548495638,288144154032,11,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492
11,uniswap,uni,Uniswap,1382.67,715141758075,24870098074,12,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604
12,litecoin,ltc,Litecoin,10500.97,702075330331,215788094745,13,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580
13,solana,sol,Solana,2509.35,685378340051,50381504096,14,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452
14,chainlink,link,Chainlink,1452.85,633062065220,68700736377,15,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700
