field1,id,symbol,name,price,market_cap,total_volume,rank,image
0,bitcoin,btc,Bitcoin,232323.0,49034990197054,2441943333816,1,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579
1,ethereum,eth,Ethereum,160682.0,18701089738509,2336918544085,2,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880
2,tether,usdt,Tether,74.45,4663147112153,4672833085182,3,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707
3,binancecoin,bnb,Binance Coin,22159.0,3412283014599,119922442932,4,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615
4,cardano,ada,Cardano,100.26,3208303635095,239445128215,5,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860
5,dogecoin,doge,Dogecoin,19.13,2491368692644,158725224430,6,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256
6,ripple,xrp,XRP,49.19,2262370179129,177586937698,7,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731
7,usd-coin,usdc,USD Coin,74.52,1894054044465,171405676448,8,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389
8,polkadot,dot,Polkadot,1214.82,1218874353088,65287932867,9,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776
9,binance-usd,busd,Binance USD,74.72,752134977019,287289418269,10,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766
10,bitcoin-cash,bch,Bitcoin Cash,38369.0,719552455701,284290331670,11,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492
11,uniswap,uni,Uniswap,1373.55,711651236821,20832523322,12,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604
12,litecoin,ltc,Litecoin,10504.14,701176880895,214879747328,13,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580
