id,symbol,name,price,market_cap,total_volume,rank,image,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,atl,atl_change_percentage,atl_date,last_updated
bitcoin,btc,Bitcoin,3643555.0,68600230060771.0,2659112156166.0,1,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,3694981.0,3622298.0,-51023.23464245116,-1.38103,-1146407970498.1562,-1.64367,18806300.0,21000000.0,21000000.0,3993.42,91263.46351,2013-07-05T00:00:00.000Z,2021-09-04T15:39:07.712Z
ethereum,eth,Ethereum,285538.0,33575066886933.0,1846185567459.0,2,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,290208.0,283077.0,-3184.265983566642,-1.10288,-443581941408.4453,-1.30394,117386809.6865,,,28.13,1015191.39348,2015-10-20T00:00:00.000Z,2021-09-04T15:39:13.137Z
cardano,ada,Cardano,212.64,6828559242128.0,244084182213.0,3,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,219.08,211.97,-6.204316262246,-2.83509,-209352852593.03516,-2.97464,32066390668.4135,45000000000.0,45000000000.0,1.38,15387.83692,2017-11-02T00:00:00.000Z,2021-09-04T15:39:18.753Z
binancecoin,bnb,Binance Coin,36675.0,5673780029428.0,153976267107.0,4,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,37074.0,35266.0,744.12,2.07101,108041823879.0,1.94119,154533651.9,170533651.9,170533651.9,2.58,1418712.4936,2017-10-19T00:00:00.000Z,2021-09-04T15:38:49.161Z
tether,usdt,Tether,73.04,4905990891527.0,5218394504960.0,5,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,73.18,72.44,-0.051078668624,-0.06988,17407989908.0,0.35609,67166878786.7102,67166878786.7102,,36.86,98.16329,2015-03-02T00:00:00.000Z,2021-09-04T15:05:40.475Z
ripple,xrp,XRP,92.54,4311041058829.0,308701458421.0,6,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,95.81,92.24,-2.901118013358,-3.03979,-160910202369.28418,-3.59821,46542338341.0,100000000000.0,100000000000.0,0.159343,58053.06765,2013-08-16T00:00:00.000Z,2021-09-04T15:39:00.151Z
solana,sol,Solana,10390.24,3024299857467.0,311067617437.0,7,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,10942.49,10125.48,228.14,2.24497,57951364617.0,1.95363,291257955.470552,488630611.0,488630611.0,38.03,27321.60521,2020-05-11T19:35:23.449Z,2021-09-04T15:38:54.385Z
dogecoin,doge,Dogecoin,22.35,2929932003266.0,144384508283.0,8,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,22.4,21.33,0.385222,1.75354,48410517310.0,1.68003,131142158152.533,,,0.00552883,403812.09163,2015-05-06T00:00:00.000Z,2021-09-04T15:39:18.420Z
polkadot,dot,Polkadot,2416.77,2471850678044.0,93294292436.0,9,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,2472.87,2389.74,25.2,1.05391,12831217845.0,0.5218,1026602638.20387,1107551771.02627,,202.26,1089.80862,2020-08-19T03:44:11.556Z,2021-09-04T15:38:50.260Z
usd-coin,usdc,USD Coin,72.95,2016244134966.0,150703028462.0,10,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,73.23,72.6,0.063852,0.08761,2947164238.0,0.14638,27640569436.0592,27640621407.7592,,65.31,11.73604,2021-05-19T13:14:05.611Z,2021-09-04T15:38:45.494Z
uniswap,uni,Uniswap,2121.72,1103566964702.0,38202164936.0,11,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,2144.35,2078.3,-0.13243766523,-0.00624,-3092576100.699951,-0.27945,519857388.1320768,1000000000.0,1000000000.0,75.81,2699.88319,2020-09-17T01:20:38.214Z,2021-09-04T15:38:56.782Z
litecoin,ltc,Litecoin,15928.31,1065609370345.0,397607503996.0,12,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,16395.01,14858.8,993.08,6.64927,63134596196.0,6.29787,66752614.5153875,84000000.0,,72.12,22035.55781,2015-01-14T00:00:00.000Z,2021-09-04T15:39:07.298Z
chainlink,link,Chainlink,2238.33,1009233590226.0,80044135134.0,13,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,2277.47,2208.05,-27.765635664118,-1.22526,-16282701728.840942,-1.58776,450509553.9174637,1000000000.0,1000000000.0,9.55,23295.17379,2017-11-29T00:00:00.000Z,2021-09-04T15:39:15.526Z
bitcoin-cash,bch,Bitcoin Cash,51689.0,975161963137.0,367439976028.0,14,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,53367.0,51058.0,174.09,0.33795,-2250426565.5776367,-0.23024,18836724.8967887,21000000.0,21000000.0,5536.54,834.42818,2018-12-16T00:00:00.000Z,2021-09-04T15:39:01.179Z
terra-luna,luna,Terra,2340.11,939646941902.0,36374152350.0,15,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,2367.91,2283.32,-8.232493125756,-0.35057,-2698784417.5948486,-0.28639,400757471.50262,994757521.605229,,9.09,25696.9447,2020-03-19T03:08:55.643Z,2021-09-04T15:38:37.855Z
binance-usd,busd,Binance USD,72.96,920052234279.0,374001513288.0,16,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,73.25,72.39,0.126547,0.17375,2672593548.0,0.29133,12606863534.29,12606863534.29,,65.99,10.69495,2021-05-19T13:04:37.445Z,2021-09-04T15:39:18.108Z
internet-computer,icp,Internet Computer,5129.56,803502997647.0,60358028238.0,17,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,5412.77,4725.81,251.33,5.15205,35204851843.0,4.58219,157140097.36,469213710.0,469213710.0,2047.11,150.18955,2021-07-20T10:14:50.919Z,2021-09-04T15:38:50.176Z
matic-network,matic,Polygon,120.54,799134479047.0,119793393169.0,18,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,121.42,104.96,13.1,12.19297,86499500866.0,12.13798,6611996838.1,10000000000.0,10000000000.0,0.220692,54624.4191,2019-05-10T00:00:00.000Z,2021-09-04T15:38:34.175Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,3651920.0,727613316294.0,14432637407.0,19,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,3698543.0,3626951.0,-44318.21937835449,-1.19901,-10564501836.987793,-1.43116,199123.00943419,199123.00943419,199123.00943419,217246.0,1582.75486,2019-04-02T00:00:00.000Z,2021-09-04T15:39:09.676Z
vechain,vet,VeChain,10.78,719967276015.0,57651458715.0,20,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,11.08,10.36,0.18728,1.76828,12196146312.0,1.72318,66760741299.0,86712634466.0,,0.144791,7368.92064,2020-03-13T02:29:59.652Z,2021-09-04T15:38:42.393Z
ethereum-classic,etc,Ethereum Classic,5087.12,660112523260.0,487111727608.0,21,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,5256.84,5024.43,-146.068648548459,-2.7912,-12638687060.8031,-1.87866,129645859.838947,210700000.0,,41.44,12149.92619,2016-07-25T00:00:00.000Z,2021-09-04T15:39:06.093Z
stellar,xlm,Stellar,27.44,650086104776.0,54001030941.0,22,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,27.93,26.76,0.377715,1.39554,9173533307.0,1.43132,23659956132.7886,50001802836.4414,50001802836.4414,0.02966141,92541.56047,2015-03-05T00:00:00.000Z,2021-09-04T15:39:07.250Z
filecoin,fil,Filecoin,6146.34,626981153932.0,86300191712.0,23,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,6184.86,5623.03,418.75,7.31116,42956262386.0,7.35521,101924211.0,1972209963.0,1972209963.0,1473.05,318.78453,2020-12-29T22:32:28.483Z,2021-09-04T15:38:44.080Z
avalanche-2,AVAX,Avalanche,3450.4,610874745972.0,59440000494.0,24,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,3576.2,3235.86,36.62,1.07259,9601489458.0,1.59686,176739193.960732,377752194.4695483,720000000.0,204.63,1577.76651,2020-12-31T13:15:21.540Z,2021-09-04T15:37:53.643Z
theta-token,theta,Theta Network,549.82,547839337108.0,26857278013.0,25,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,560.34,521.32,25.31,4.82528,21855454963.0,4.15516,1000000000.0,1000000000.0,,2.96,18346.40063,2018-12-15T00:00:00.000Z,2021-09-04T15:38:51.777Z
compound-ether,ceth,cETH,5729.71,541115333152.0,3309484124.0,26,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,5825.69,5682.85,-74.016277779132,-1.27532,-8831301030.3432,-1.60585,94252179.6160094,94053716.8144383,,142.41,3927.26869,2020-03-13T02:22:33.711Z,2021-09-04T15:35:03.494Z
tron,trx,TRON,7.43,531479425635.0,105566465831.0,27,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,7.56,7.27,-0.010641159913,-0.14296,-3861896583.265991,-0.72139,71660220128.0,100850743812.0,,0.117589,6217.42705,2017-11-12T00:00:00.000Z,2021-09-04T15:39:09.214Z
cosmos,atom,Cosmos,1808.57,504040142599.0,38707306611.0,28,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,1846.51,1735.9,38.83,2.19395,8827523915.0,1.78257,278624943.003428,,,87.61,1961.59707,2020-03-13T02:27:44.591Z,2021-09-04T15:38:51.597Z
ftx-token,ftt,FTX Token,4592.11,487021833283.0,92442650871.0,29,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,4761.35,4421.73,-26.125279528575,-0.5657,-5262559082.177246,-1.06901,105957291.21874323,336828627.285971,336828627.285971,82.7,5461.49863,2019-09-06T00:00:00.000Z,2021-09-04T15:38:27.873Z
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,25102.0,465632004781.0,756245649.0,30,https://assets.coingecko.com/coins/images/13120/large/Logo_final-21.png?1624892810,26030.0,19005.75,6095.95,32.07427,106240872701.0,29.56135,18794058.3967894,21000000.0,,686.48,3499.11883,2020-11-15T18:28:32.658Z,2021-09-04T15:37:02.773Z
okb,okb,OKB,1679.98,449272106146.0,25817909383.0,31,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,1693.93,1599.49,63.27,3.91352,16292260061.0,3.76282,267436117.72,300000000.0,,40.86,4015.39273,2019-01-14T00:00:00.000Z,2021-09-04T15:38:46.624Z
dai,dai,Dai,73.02,446645645772.0,23525386014.0,32,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,73.27,72.64,0.175326,0.24068,1678597563.0,0.37724,6116642110.4045,6117981744.43111,6117981744.43111,64.85,12.60533,2019-11-25T00:04:18.137Z,2021-09-04T15:06:05.608Z
monero,xmr,Monero,22291.0,401657764416.0,15912234623.0,33,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,22645.0,22042.0,-215.694385047424,-0.95834,-4053791318.017395,-0.99918,17986519.5208798,,,13.57,164443.71178,2015-01-14T00:00:00.000Z,2021-09-04T15:38:45.718Z
eos,eos,EOS,410.8,397137807193.0,166697674322.0,34,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,426.86,404.93,4.71,1.15886,2331999135.0,0.59067,966039548.9474,,,32.67,1158.90351,2017-10-23T00:00:00.000Z,2021-09-04T15:39:11.679Z
pancakeswap-token,cake,PancakeSwap,1773.1,386855812547.0,16583724821.0,35,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,1787.71,1692.38,31.83,1.82812,7549415826.0,1.99032,217768673.895704,,,14.48,12174.56601,2020-11-03T14:29:34.165Z,2021-09-04T15:39:11.653Z
aave,aave,Aave,29368.0,386315339253.0,17479666670.0,36,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,29621.0,28496.0,153.78,0.52639,1243765008.0,0.323,13153621.338840935,16000000.0,16000000.0,1933.39,1421.21411,2020-11-05T09:20:11.928Z,2021-09-04T15:38:42.194Z
axie-infinity,axs,Axie Infinity,6662.58,383401565120.0,195113708050.0,37,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,6838.33,5286.57,1245.84,22.99973,69016268788.0,21.95277,57819591.56362162,270000000.0,270000000.0,9.17,72036.42082,2020-11-06T08:05:43.662Z,2021-09-04T15:38:43.809Z
compound-usd-coin,cusdc,cUSDC,1.62,374784191044.0,3607951041.0,38,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,1.62,1.61,0.00218414,0.13534,8208263618.0,2.23917,231665908267.041,231676202326.304,,0.451431,257.92764,2021-03-04T08:11:37.438Z,2021-09-04T15:35:03.471Z
iota,miota,IOTA,127.88,354367027791.0,27076309891.0,39,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,127.49,111.15,14.75,13.0349,38532376341.0,12.20017,2779530283.277761,2779530283.0,,6.16,1961.51155,2020-03-13T02:22:41.168Z,2021-09-04T15:38:28.135Z
the-graph,grt,The Graph,69.16,343171640168.0,12640557751.0,40,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,71.08,65.88,2.14,3.2005,9226895338.0,2.763,4956845231.0,10000000000.0,10000000000.0,7.59,812.50791,2020-12-17T21:28:41.332Z,2021-09-04T15:39:10.835Z
