id,symbol,name,price,market_cap,total_volume,rank,image,type
bitcoin,btc,Bitcoin,3362145.0,63205467700218.0,2084429898053.0,1,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,Crypto
ethereum,eth,Ethereum,234632.0,27610019102493.0,1213919388321.0,2,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,Crypto
cardano,ada,Cardano,159.44,5114065889768.0,205152493527.0,3,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,Crypto
tether,usdt,Tether,73.64,5101932081150.0,4190054832900.0,4,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,Crypto
binancecoin,bnb,Binance Coin,28779.0,4446064597579.0,104159688484.0,5,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,Crypto
ripple,xrp,XRP,72.46,3383546651432.0,245741102580.0,6,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,Crypto
solana,sol,Solana,10549.94,3146276238466.0,247982385793.0,7,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,Crypto
polkadot,dot,Polkadot,2311.34,2386313926966.0,99755287429.0,8,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,Crypto
usd-coin,usdc,USD Coin,73.78,2169833120113.0,151056413561.0,9,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,Crypto
dogecoin,doge,Dogecoin,16.39,2155128237621.0,80502809178.0,10,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,Crypto
avalanche-2,AVAX,Avalanche,4771.38,1054331172153.0,144105079263.0,11,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,Crypto
binance-usd,busd,Binance USD,73.72,945685635104.0,344995452285.0,12,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,Crypto
terra-luna,luna,Terra,2271.17,912152434536.0,75141627776.0,13,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,Crypto
uniswap,uni,Uniswap,1663.0,868149124505.0,21264367618.0,14,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,Crypto
chainlink,link,Chainlink,1902.86,864456592115.0,74252447300.0,15,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,Crypto
cosmos,atom,Cosmos,3001.61,850586004704.0,174421459746.0,16,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,Crypto
litecoin,ltc,Litecoin,12273.2,819580425345.0,171077618853.0,17,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,Crypto
bitcoin-cash,bch,Bitcoin Cash,42691.0,806859416606.0,526307201799.0,18,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,Crypto
algorand,algo,Algorand,133.03,727404347752.0,51530309428.0,19,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,Crypto
wrapped-bitcoin,wbtc,Wrapped Bitcoin,3362486.0,693978366165.0,27596942667.0,20,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,Crypto
filecoin,fil,Filecoin,5885.15,636618671979.0,54657511515.0,21,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,Crypto
internet-computer,icp,Internet Computer,3887.59,633375766115.0,18342381970.0,22,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,Crypto
matic-network,matic,Polygon,91.06,606949574720.0,53336328318.0,23,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,Crypto
stellar,xlm,Stellar,21.92,520184684580.0,34964407714.0,24,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,Crypto
tron,trx,TRON,7.09,509044949725.0,101553714414.0,25,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,Crypto
ftx-token,ftt,FTX Token,4151.36,505236645842.0,34387332570.0,26,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,Crypto
ethereum-classic,etc,Ethereum Classic,3882.96,504091652912.0,347726167953.0,27,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,Crypto
vechain,vet,VeChain,7.44,496747841550.0,28349765723.0,28,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,Crypto
dai,dai,Dai,73.7,463846602931.0,25417476740.0,29,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,Crypto
theta-token,theta,Theta Network,418.38,419020856745.0,19348132179.0,30,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,Crypto
compound-ether,ceth,cETH,4707.31,416184137210.0,724993811.0,31,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,Crypto
tezos,xtz,Tezos,424.92,361336250551.0,52768417241.0,32,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,Crypto
pancakeswap-token,cake,PancakeSwap,1574.48,359186676983.0,27320045624.0,33,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,Crypto
okb,okb,OKB,1322.51,351735647115.0,13960824859.0,34,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,Crypto
cdai,cdai,cDAI,1.6,342523287027.0,45328699.0,35,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,Crypto
crypto-com-chain,cro,Crypto.com Coin,13.07,331677102692.0,4496089085.0,36,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,Crypto
monero,xmr,Monero,18405.7,331360021132.0,18016672211.0,37,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,Crypto
eos,eos,EOS,340.09,329500390685.0,125810661053.0,38,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,Crypto
compound-usd-coin,cusdc,cUSDC,1.64,328879052895.0,2106101952.0,39,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,Crypto
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,17461.44,326541087920.0,17719717533.0,40,https://assets.coingecko.com/coins/images/13120/large/Logo_final-21.png?1624892810,Crypto
quant-network,qnt,Quant,23344.0,314932471721.0,6327378576.0,41,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,Crypto
elrond-erd-2,egld,Elrond,15812.82,314761445063.0,13914705957.0,42,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,Crypto
ecash,xec,eCash,0.01664768,313667371534.0,7143627119.0,43,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1628239446,Crypto
aave,aave,Aave,23652.0,312468436600.0,19167011904.0,44,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,Crypto
staked-ether,steth,Lido Staked Ether,231901.0,301563778294.0,245698184.0,45,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,Crypto
near,near,Near,645.43,300002904776.0,47381249020.0,46,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,Crypto
iota,miota,IOTA,105.39,293832634159.0,8542074059.0,47,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,Crypto
the-graph,grt,The Graph,56.51,280797693423.0,7314466851.0,48,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,Crypto
shiba-inu,shib,Shiba Inu,0.00056069,279516725778.0,44270231289.0,49,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,Crypto
hedera-hashgraph,hbar,Hedera Hashgraph,26.66,260513308043.0,16644475333.0,50,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777,Crypto
axie-infinity,axs,Axie Infinity,4394.08,254284125184.0,19195309562.0,51,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,Crypto
kusama,ksm,Kusama,27656.0,249053465827.0,9945131336.0,52,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,Crypto
fantom,ftm,Fantom,94.32,239692793521.0,49976027359.0,53,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,Crypto
neo,neo,NEO,3317.23,234455263248.0,26639894239.0,54,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,Crypto
klay-token,klay,Klaytn,86.51,217900648206.0,3098153870.0,55,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,Crypto
leo-token,leo,LEO Token,226.23,214075184831.0,217993252.0,56,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,Crypto
bitcoin-cash-sv,bsv,Bitcoin SV,11128.42,209889117523.0,16352545142.0,57,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,Crypto
terrausd,ust,TerraUSD,73.9,192511025824.0,5802159309.0,58,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,Crypto
waves,waves,Waves,1861.62,186291721345.0,10312858952.0,59,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,Crypto
bittorrent-2,btt,BitTorrent,0.268222,177114169911.0,23130011754.0,60,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,Crypto
maker,mkr,Maker,193220.0,174509891374.0,5135764468.0,61,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,Crypto
arweave,ar,Arweave,3253.42,174160351841.0,3944597021.0,62,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,Crypto
celsius-degree-token,cel,Celsius Network,389.85,165125132651.0,671609708.0,63,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,Crypto
thorchain,rune,THORChain,621.97,163865999443.0,5804728808.0,64,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,Crypto
amp-token,amp,Amp,3.39,163000283534.0,1559037378.0,65,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,Crypto
huobi-token,ht,Huobi Token,990.9,162916222147.0,7980197631.0,66,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,Crypto
sushi,sushi,Sushi,813.86,157452511676.0,31261951569.0,67,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,Crypto
compound-governance-token,comp,Compound,27512.0,148915372812.0,7072604963.0,68,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,Crypto
havven,snx,Synthetix Network Token,841.27,147246897984.0,13833969472.0,69,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,Crypto
dash,dash,Dash,13324.26,137775192873.0,23547261317.0,70,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,Crypto
huobi-btc,hbtc,Huobi BTC,3368388.0,134370144249.0,1674827809.0,71,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,Crypto
helium,hnt,Helium,1362.82,131576479912.0,875564716.0,72,https://assets.coingecko.com/coins/images/4284/large/Helium_HNT.png?1612620071,Crypto
decred,dcr,Decred,9798.61,130532165300.0,1025017943.0,73,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,Crypto
chiliz,chz,Chiliz,22.1,118661993636.0,10872111346.0,74,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,Crypto
holotoken,hot,Holo,0.658254,116958192331.0,11808667366.0,75,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,Crypto
nem,xem,NEM,12.51,112556839088.0,4205041269.0,76,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029,Crypto
harmony,one,Harmony,10.58,111607593548.0,7822361060.0,77,https://assets.coingecko.com/coins/images/4344/large/Y88JAze.png?1565065793,Crypto
theta-fuel,tfuel,Theta Fuel,20.76,110153614508.0,1116596156.0,78,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,Crypto
zcash,zec,Zcash,9275.06,107792076982.0,18775436165.0,79,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,Crypto
iostoken,iost,IOST,4.58,104574788587.0,22007703128.0,80,https://assets.coingecko.com/coins/images/2523/large/IOST.png?1557555183,Crypto
true-usd,tusd,TrueUSD,73.67,103005900872.0,5724703156.0,81,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,Crypto
blockstack,stx,Stacks,96.33,101658472097.0,1094737088.0,82,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,Crypto
enjincoin,enj,Enjin Coin,108.41,101588408467.0,5853722687.0,83,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,Crypto
xdce-crowd-sale,xdc,XDC Network,7.84,96540102147.0,743817781.0,84,https://assets.coingecko.com/coins/images/2912/large/xdc-logo.png?1589242157,Crypto
osmosis,osmo,Osmosis,520.01,92576063568.0,634052822.0,85,https://assets.coingecko.com/coins/images/16724/large/osmosis.jpeg?1624849879,Crypto
omisego,omg,OMG Network,644.55,90569837992.0,93915850552.0,86,https://assets.coingecko.com/coins/images/776/large/OMG_Network.jpg?1591167168,Crypto
zilliqa,zil,Zilliqa,7.07,88602279995.0,5449694591.0,87,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894,Crypto
flow,flow,Flow,1393.14,88099273002.0,6023533632.0,88,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1631696776,Crypto
mina-protocol,mina,Mina Protocol,363.33,87875835938.0,6719623875.0,89,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1621394004,Crypto
qtum,qtum,Qtum,836.39,86819594092.0,15017928835.0,90,https://assets.coingecko.com/coins/images/684/large/qtum.png?1547034438,Crypto
ecomi,omi,ECOMI,0.392428,85395832777.0,1342531928.0,91,https://assets.coingecko.com/coins/images/4428/large/ECOMI.png?1557928886,Crypto
