pub_date,source,title,url,description,photo_url,read_time,summary
2021-09-20 12:00:24,Business Insider India,The crypto market is stuck in a lul,https://www.businessinsider.in/cryptocurrency/news/the-crypto-market-is-stuck-in-a-lul/slidelist/86361083.cms,"Disclaimer

These are top cryptocurrencies by volume according to CoinMarketCap | Prices updated as of September 20, 10 am IST and may change over the course of the day.","('https://www.businessinsider.in/thumb/msid-86361083,width-900,height-1200,resizemode-4/cryptocurrency/news/the-crypto-market-is-stuck-in-a-lul.jpg',)",1 min read,"DisclaimerThese are top cryptocurrencies by volume according to CoinMarketCap | Prices updated as of September 20, 10 am IST and may change over the course of the day."
2021-09-20 12:00:24,Gadgets 360,"Cryptocurrency Prices in India Today: Bitcoin, Dogecoin and Ethereum Witness Slight Slip",https://gadgets.ndtv.com/cryptocurrency/news/cryptocurrencies-prices-dogecoin-plunges-bitcoin-ethereum-tether-2546847,"Crypto prices have slipped a little over the weekend, with Dogecoin, Bitcoin, and Ether all down. An announcement that Walmart would be accepting Litecoin, which turned out to be fake, created a lot of confusion, and hurt the prices of different coins. Bitcoin prices still held above $45,000 at the time of writing, and more experts are predicting a big upswing for it over the remaining months of 2021. If that happens, the rest of the market will likely be buoyed along as well, as we saw at the start of the year.

The value of Bitcoin on Monday slipped by 3.35 percent in India. The crypto currency is trading at Rs. 36,44,325. Previously, the currency had closed trading at Rs. 37,70,785 indicating that in the last 24 hours, Bitcoin has shrunken substantially with a fresh value difference of over Rs. 1 lakh, as per the Gadgets 360 Bitcoin Price History tracker.

Ethereum, that is currently valued at Rs. 2,56,011, has also witnessed a slip of 4.82 percent. The crypto currency had closed at Rs 2,68,975 – and has gone down in value by over Rs. 12,000.

And Dogecoin, that was riding on the value of Rs. 20 last week, has again slipped down significantly by 5.76 percent. The Elon Musk-supported crypto currency is priced at Rs 17.86 in India as we write this.

On the other hand, crypto currencies like Tether and USD Coin have gained value by 1 percent each and are trading at Rs. 79.89 each as well.

Cryptocurrency trading and transactions are picking momentum around the world, despite anti-crypto voices questioning the legibility of these digital currencies. Last week, the President of the European Central bank, Christine Lagarde had said that she does not consider cryptocurrencies as real.

Statistics platform CompareCamp on the other hand has recently reported that there are over 350,000 Bitcoin transactions daily, with an average of 14,904 every hour, or four transactions per second.","('https://i.gadgets360cdn.com/large/bitcoin_colours_reuters_1611921415626.jpg',)",2 min read,"Crypto prices have slipped a little over the weekend, with Dogecoin, Bitcoin, and Ether all down.
Bitcoin prices still held above $45,000 at the time of writing, and more experts are predicting a big upswing for it over the remaining months of 2021.
The crypto currency had closed at Rs 2,68,975 – and has gone down in value by over Rs.
The Elon Musk-supported crypto currency is priced at Rs 17.86 in India as we write this.
Statistics platform CompareCamp on the other hand has recently reported that there are over 350,000 Bitcoin transactions daily, with an average of 14,904 every hour, or four transactions per second."
2021-09-20 12:00:24,NewsBTC,"TA: Ethereum Plunges to $3,150: Can Bulls Save the Day?",https://www.newsbtc.com/analysis/eth/ethereum-plunges-to-3150/,"Ethereum started another decline below the $3,400 support zone against the US Dollar. ETH price must stay above $3,150 to avoid more losses in the near term.

Ethereum started a fresh decline from the $3,500 and $3,550 resistance levels.

The price is now trading below $3,300 and the 100 hourly simple moving average.

There is a major bearish trend line forming with resistance near $3,360 on the hourly chart of ETH/USD (data feed via Kraken).

The pair could a steady increase as long as it is above the $3,150 support zone.

Ethereum Price is Eyeing Decent Recovery

Ethereum failed to clear the main $3,500 resistance zone. ETH started a major decline below the $3,400 support zone and the 100 hourly simple moving average, similar to bitcoin.

The price traded below the $3,320 and $3,250 support levels. Finally, ether spiked below $3,200, but the bulls were active near the key $3,150 support zone. A low is formed near $3,156 and the price is now consolidating losses.

An immediate resistance on the upside is near the $3,230 level. It is close to the 23.6% Fib retracement level of the recent drop from the $3,456 high to $3,156 low. The first major resistance is now forming near the $3,320 level (the last key support).

The 50% Fib retracement level of the recent drop from the $3,456 high to $3,156 low is also near $3,320. Besides, there is a major bearish trend line forming with resistance near $3,360 on the hourly chart of ETH/USD. A clear break and close above the $3,400 level could start another increase. The next major resistance sits near $3,500.

More Losses in ETH?

If ethereum fails to correct higher above the $3,250 and $3,320 resistance levels, it could start another decline. An initial support on the downside is near the $3,180 level.

The next major support seems to be forming near the $3,150 level. A downside break below the $3,150 support zone could spark a sharp decline. The next major support is near the $3,000 level, below which ether price might decline towards the $2,880 support zone in the near term.

Technical Indicators

Hourly MACD – The MACD for ETH/USD is slowly losing pace in the bearish zone.

Hourly RSI – The RSI for ETH/USD is now well below the 50 level.

Major Support Level – $3,150

Major Resistance Level – $3,320","('https://www.newsbtc.com/wp-content/uploads/2021/01/shutterstock_649351729.jpg',)",2 min read,"The pair could a steady increase as long as it is above the $3,150 support zone.
ETH started a major decline below the $3,400 support zone and the 100 hourly simple moving average, similar to bitcoin.
Finally, ether spiked below $3,200, but the bulls were active near the key $3,150 support zone.
A downside break below the $3,150 support zone could spark a sharp decline.
Major Support Level – $3,150Major Resistance Level – $3,320"
2021-09-20 12:00:24,The Economic Times,"Top cryptocurrency prices today: Solana, Cardano, XRP shed up to 12%",https://economictimes.indiatimes.com/markets/cryptocurrency/top-cryptocurrency-prices-today-solana-cardano-xrp-shed-up-to-12/articleshow/86359962.cms,"New Delhi: Major cryptocurrencies bled on Monday, thanks to a strong inflow of negative updates across the globe. Investors turned cautious over another meltdown in the crypto cart.Barring stablecoins , eight out of top 10 cryptocurrencies were trading lower at 9.30 hours IST. Solana tanked as much as 12 per cent, whereas Cardano and XRP gave up over 8 per cent each.The global crypto market cap tanked up to 6 per cent to $2.02 trillion compared to the last day. However, the total crypto market volume gained as much as 4 per cent to $91.91 billion.""The past 24 hours were relatively quiet for the cryptocurrency market. As institutional investors become more active progressing into the new week, we would likely witness more volatility. Crypto bluechips faced minor profit booking over the weekend,"" said Edul Patel, CEO and Co-founder of Mudrex In the meantime, US officials are examining possible insider trading and market manipulation at Binance , Bloomberg News reported, potentially adding more heat to the cryptocurrency exchange that has become a target of regulatory scrutiny in many countries.","('https://img.etimg.com/thumb/msid-86359907,width-1070,height-580,imgsize-56735,overlay-etmarkets/photo.jpg',)",1 min read,"New Delhi: Major cryptocurrencies bled on Monday, thanks to a strong inflow of negative updates across the globe.
Investors turned cautious over another meltdown in the crypto cart.Barring stablecoins , eight out of top 10 cryptocurrencies were trading lower at 9.30 hours IST.
Solana tanked as much as 12 per cent, whereas Cardano and XRP gave up over 8 per cent each.The global crypto market cap tanked up to 6 per cent to $2.02 trillion compared to the last day.
However, the total crypto market volume gained as much as 4 per cent to $91.91 billion.
""The past 24 hours were relatively quiet for the cryptocurrency market."
2021-09-20 12:00:24,Moneycontrol,"Top Cryptocurrency News On September 20: Major Stories On Bitcoin, Mark Cuban & Regulation",https://www.moneycontrol.com/news/business/cryptocurrency/top-cryptocurrency-news-on-september-20-major-stories-on-bitcoin-mark-cuban-regulation-7459011.html,"Crypto 101

What is Solana and is it better than Cryptos like Bitcoin, Ether?



Solana soared more than 250% last month. On Monday, 6 September, it became the seventh-largest cryptocurrency in the world, surpassing the famous Dogecoin. So as investor interest continues to rise, we tell you more about this altcoin. Watch it here.

","('https://images.moneycontrol.com/static-mcnews/2021/05/Cryptocurrency_Bitcoin-770x433.jpg',)",1 min read,"Crypto 101What is Solana and is it better than Cryptos like Bitcoin, Ether?
Solana soared more than 250% last month.
On Monday, 6 September, it became the seventh-largest cryptocurrency in the world, surpassing the famous Dogecoin.
So as investor interest continues to rise, we tell you more about this altcoin.
Watch it here."
2021-09-20 12:00:24,,Cryptocurrency Prices Today on September 20: Dogecoin plunges nearly 4%,https://www.moneycontrol.com/news/business/cryptocurrency/cryptocurrency-prices-today-on-september-20-dogecoin-plunges-nearly-4-7484021.html,"Cryptocurrency (Representative image)

Most major cryptocurrencies are trading in red with Cardano trading at more than than 3 percent lower.

The total global cryptocurrency market-capitalisation has fallen by 2.33 percent over the past day to $2.09 trillion, according to data from CoinMarketCap. At the time of writing this copy, Bitcoin is trading slightly higher, at above Rs 37 lakh.

NAME PRICE 24H % Bitcoin Rs 37,36,373 -0.23% Ethereum Rs 2,62,000 -2.02% Cardano Rs 178.3343 -3.52% Binance Coin Rs 32,150.11 0.14% Tether Rs 79 0.88% XRP Rs 81.213 -2.97% Polkadot Rs 2,630.02 -2.21% Dogecoin Rs 18.15 -3.71%

Check the prices of some of the top cryptocurrencies (Prices taken at around 7.42 am from WazirX ):","('https://images.moneycontrol.com/static-mcnews/2021/05/Cryptocurrency_Bitcoin-770x433.jpg',)",1 min read,"Cryptocurrency (Representative image)Most major cryptocurrencies are trading in red with Cardano trading at more than than 3 percent lower.
The total global cryptocurrency market-capitalisation has fallen by 2.33 percent over the past day to $2.09 trillion, according to data from CoinMarketCap.
At the time of writing this copy, Bitcoin is trading slightly higher, at above Rs 37 lakh.
NAME PRICE 24H % Bitcoin Rs 37,36,373 -0.23% Ethereum Rs 2,62,000 -2.02% Cardano Rs 178.3343 -3.52% Binance Coin Rs 32,150.11 0.14% Tether Rs 79 0.88% XRP Rs 81.213 -2.97% Polkadot Rs 2,630.02 -2.21% Dogecoin Rs 18.15 -3.71%Check the prices of some of the top cryptocurrencies (Prices taken at around 7.42 am from WazirX ):"
2021-09-20 12:00:24,NDTV.com,Are Institutional Investors Warming Up To The Idea Of Cryptocurrency?,https://www.ndtv.com/business/how-the-growth-of-cryptocurrency-is-changing-perception-of-institutional-investors-2544264,"Twitter CEO Jack Dorsey has put his company at the centre of decentralised finance

The rapid rise of cryptocurrency has not just attracted retail investors but also the big guys of the finance world who are eyeing a part of the booming sector. Following Bitcoin's launch in January 2009, the initial years of the crypto industry were driven largely by technology enthusiasts and amateur investors. Institutional investors had dismissed Bitcoin as a worthless digital asset favoured mostly by criminals, hackers, and profiteers. But now that the market capitalisation of the crypto industry has surpassed $2 trillion, institutions are finding it difficult to let go of the business opportunity.

The shift in approach has been driven by a number of factors, including the incredible success of Bitcoin and other crypto coins. Some institutions are diverting their money to cryptocurrency as a strategy to diversify their investment, with billions of dollars worth of institutional capital flowing into the space this year alone.

Take for example MicroStrategy and its founder Michael Saylor, an outspoken supporter of Bitcoin. The IT services firm is already the largest corporate Bitcoin holder in the world, even ahead of Elon Musk's Tesla. It recently bought another 5,050 Bitcoin to solidify its lead to $5.1 billion.

Twitter CEO Jack Dorsey, another Bitcoin maximalist who founded a mobile payments company named Square, has put his company at the centre of decentralised finance (defi). Square is among the top 5 investors in Bitcoin.

The term unicorn, reserved for private startup companies reaching a value of $1 billion, has found a new meaning with the growth of cryptocurrency. CoinDCX, an online exchange that facilitates trading in Bitcoin and other crypto coins founded in 2018, recently became India's first crypto unicorn after a round of financing.

But there are some also who have not found the crypto industry very encouraging. Like Lee Cooperman. The US billionaire investor and hedge fund manager recently said he still does not understand Bitcoin. He said he thinks it's not in the interest of the US government to further a substitute for the dollar.","('https://c.ndtvimg.com/2021-08/elk956bg_crypto_625x300_09_August_21.jpg',)",2 min read,"Following Bitcoin's launch in January 2009, the initial years of the crypto industry were driven largely by technology enthusiasts and amateur investors.
Institutional investors had dismissed Bitcoin as a worthless digital asset favoured mostly by criminals, hackers, and profiteers.
But now that the market capitalisation of the crypto industry has surpassed $2 trillion, institutions are finding it difficult to let go of the business opportunity.
CoinDCX, an online exchange that facilitates trading in Bitcoin and other crypto coins founded in 2018, recently became India's first crypto unicorn after a round of financing.
But there are some also who have not found the crypto industry very encouraging."
2021-09-20 12:00:24,The Daily Hodl,"Top Crypto Analyst Predicts Deep Correction for Bitcoin and Ethereum, Pulls Out of Altcoin Positions",https://dailyhodl.com/2021/09/19/top-crypto-analyst-predicts-deep-correction-for-bitcoin-and-ethereum-pulls-out-altcoin-positions/,"A prominent crypto strategist and trader says he’s pulling out of his altcoin positions as he believes Bitcoin and Ethereum are poised for a deep correction.

The pseudonymous trader, known in the industry as Smart Contracter, tells his 165,600 followers that he sees Bitcoin (BTC) dropping below $40,000 while Ethereum (ETH) could slide below $3,000.

ADVERTISEMENT

“Took profit on a whole lot of my alt positions despite how bullish I think they may look. I think BTC and ETH are both about to put in deeper C waves, correcting the 5 wave rises they both had from the July lows and a push down to $36,000 and $2,600 respectively will affect everything.”

Smart Contracter relies on the Elliott Wave theory, a technical analysis approach that forecasts future price action by following the psychology of market participants that tends to manifest in waves. According to the theory, an asset goes through a significant leg down (ABC wave) after completing a five-wave cycle in an uptrend.

Recently, Smart Contracter said that he’s looking at Solana (SOL) and Ethereum competitor Avalanche (AVAX) for possible rallies. The other coins on his radar are Synthetix (SNX), a cryptocurrency that powers the trading of synthetic assets, and Curve (CRV), the governance token of stablecoin decentralized exchange Curve Finance.

While Smart Contracter is short-term bearish on Bitcoin, fellow crypto analyst Michaël van de Poppe believes BTC is on the verge of igniting a rally to $50,000 after holding the key support level above $47,000.

“Still pretty much fine for Bitcoin.”

At time of writing, BTC is trading at $47,941, according to CoinMarketCap.

Don't Miss a Beat – Subscribe to get crypto email alerts delivered directly to your inbox

Follow us on Twitter Facebook and Telegram

ADVERTISEMENT

Check Latest News Headlines



Disclaimer: Opinions expressed at The Daily Hodl are not investment advice. Investors should do their due diligence before making any high-risk investments in Bitcoin, cryptocurrency or digital assets. Please be advised that your transfers and trades are at your own risk, and any loses you may incur are your responsibility. The Daily Hodl does not recommend the buying or selling of any cryptocurrencies or digital assets, nor is The Daily Hodl an investment advisor. Please note that The Daily Hodl participates in affiliate marketing.

Featured Image: Shutterstock/Benny Studio","('https://dailyhodl.com/wp-content/uploads/2021/05/eth-bites-btc.jpg',)",2 min read,"A prominent crypto strategist and trader says he’s pulling out of his altcoin positions as he believes Bitcoin and Ethereum are poised for a deep correction.
The pseudonymous trader, known in the industry as Smart Contracter, tells his 165,600 followers that he sees Bitcoin (BTC) dropping below $40,000 while Ethereum (ETH) could slide below $3,000.
Recently, Smart Contracter said that he’s looking at Solana (SOL) and Ethereum competitor Avalanche (AVAX) for possible rallies.
The Daily Hodl does not recommend the buying or selling of any cryptocurrencies or digital assets, nor is The Daily Hodl an investment advisor.
Please note that The Daily Hodl participates in affiliate marketing."
2021-09-20 12:00:24,Business Insider India,The crypto market is stuck in a lul,https://www.businessinsider.in/cryptocurrency/news/the-crypto-market-is-stuck-in-a-lul/slidelist/86361083.cms,"Disclaimer

These are top cryptocurrencies by volume according to CoinMarketCap | Prices updated as of September 20, 10 am IST and may change over the course of the day.","('https://www.businessinsider.in/thumb/msid-86361083,width-900,height-1200,resizemode-4/cryptocurrency/news/the-crypto-market-is-stuck-in-a-lul.jpg',)",1 min read,"DisclaimerThese are top cryptocurrencies by volume according to CoinMarketCap | Prices updated as of September 20, 10 am IST and may change over the course of the day."
2021-09-20 12:00:24,Gadgets 360,"Cryptocurrency Prices in India Today: Bitcoin, Dogecoin and Ethereum Witness Slight Slip",https://gadgets.ndtv.com/cryptocurrency/news/cryptocurrencies-prices-dogecoin-plunges-bitcoin-ethereum-tether-2546847,"Crypto prices have slipped a little over the weekend, with Dogecoin, Bitcoin, and Ether all down. An announcement that Walmart would be accepting Litecoin, which turned out to be fake, created a lot of confusion, and hurt the prices of different coins. Bitcoin prices still held above $45,000 at the time of writing, and more experts are predicting a big upswing for it over the remaining months of 2021. If that happens, the rest of the market will likely be buoyed along as well, as we saw at the start of the year.

The value of Bitcoin on Monday slipped by 3.35 percent in India. The crypto currency is trading at Rs. 36,44,325. Previously, the currency had closed trading at Rs. 37,70,785 indicating that in the last 24 hours, Bitcoin has shrunken substantially with a fresh value difference of over Rs. 1 lakh, as per the Gadgets 360 Bitcoin Price History tracker.

Ethereum, that is currently valued at Rs. 2,56,011, has also witnessed a slip of 4.82 percent. The crypto currency had closed at Rs 2,68,975 – and has gone down in value by over Rs. 12,000.

And Dogecoin, that was riding on the value of Rs. 20 last week, has again slipped down significantly by 5.76 percent. The Elon Musk-supported crypto currency is priced at Rs 17.86 in India as we write this.

On the other hand, crypto currencies like Tether and USD Coin have gained value by 1 percent each and are trading at Rs. 79.89 each as well.

Cryptocurrency trading and transactions are picking momentum around the world, despite anti-crypto voices questioning the legibility of these digital currencies. Last week, the President of the European Central bank, Christine Lagarde had said that she does not consider cryptocurrencies as real.

Statistics platform CompareCamp on the other hand has recently reported that there are over 350,000 Bitcoin transactions daily, with an average of 14,904 every hour, or four transactions per second.","('https://i.gadgets360cdn.com/large/bitcoin_colours_reuters_1611921415626.jpg',)",2 min read,"Crypto prices have slipped a little over the weekend, with Dogecoin, Bitcoin, and Ether all down.
Bitcoin prices still held above $45,000 at the time of writing, and more experts are predicting a big upswing for it over the remaining months of 2021.
The crypto currency had closed at Rs 2,68,975 – and has gone down in value by over Rs.
The Elon Musk-supported crypto currency is priced at Rs 17.86 in India as we write this.
Statistics platform CompareCamp on the other hand has recently reported that there are over 350,000 Bitcoin transactions daily, with an average of 14,904 every hour, or four transactions per second."
